400/200
Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10      981.95            425.66             1018.29        2153.18       59.90
  20      656.45            579.80             1523.26        2901.47       74.21
  30      505.64            711.26             1977.61        3629.37       80.83
  40      413.64            833.44             2417.51        3878.79       84.93
  50      350.21            950.72             2855.35        4415.21       87.64
  60      304.82           1061.34             3280.56        4790.47       89.41
  70      269.33           1170.06             3712.84        5309.70       91.00
  80      242.33           1273.12             4126.58        5853.77       92.47
  90      216.39           1373.43             4621.27        6405.54       93.49
 100      199.88           1469.67             5002.82        6980.31       94.20
 150      143.86           1920.31             6951.05        9554.45       96.47
 200      110.59           2323.94             9042.13       12377.17       97.54
 250       91.19           2695.94            10965.85       15859.21       98.07
 300       77.43           3043.24            12914.79       19271.16       98.53
 350       68.32           3371.98            14636.27       19431.78       98.74
 400       60.82           3683.48            16442.80       22879.16       98.94
 450       54.79           3978.89            18251.35       23711.94       99.07
 500       50.10           4265.23            19959.80       26494.53       99.15
 550       45.66           4538.18            21900.79       38233.87       99.27
 600       42.22           4802.75            23687.50       30902.66       99.31
 650       39.24           5060.24            25485.29       33375.48       99.41
 700       34.45           5310.00            29023.51       44047.30       99.47
 750       31.96           5554.10            31285.06       77602.40       99.54
 800       31.93           5790.14            31314.80       52204.01       99.56
 850       30.22           6020.53            33087.77       43389.46       99.58
 900       28.67           6244.85            34881.30       45629.58       99.60
1000       24.13           6682.04            41450.11       61963.12       99.62

400/200
Using 16 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    10130.98            425.66             1543.86        4101.31       59.90
  20     7255.06            579.80             2177.44        5394.32       74.21
  30     5896.06            711.26             2693.70        6806.96       80.83
  40     5232.76            833.44             3034.13        6187.17       84.93
  50     4497.66            950.72             3531.92        5697.96       87.64
  60     3900.07           1061.34             4074.31        6574.33       89.41
  70     3436.48           1170.06             4620.42        6831.44       91.00
  80     3082.16           1273.12             5153.00        8246.14       92.47
  90     2792.64           1373.43             5686.21        9825.49       93.49
 100     2569.56           1469.67             6182.58        9467.50       94.20
 150     1804.05           1920.31             8801.12       15483.80       96.47
 200     1401.83           2323.94            11331.68       20109.27       97.54
 250     1149.32           2695.94            13817.04       21475.27       98.07
 300      972.60           3043.24            16340.14       26001.66       98.53
 350      843.00           3371.98            18826.81       28773.79       98.74
 400      745.13           3683.48            21333.80       33034.76       98.94
 450      667.31           3978.89            23825.03       34951.50       99.07
 500      598.79           4265.23            26466.23       40097.09       99.15
 550      547.16           4538.18            29054.59       55948.40       99.27
 600      506.20           4802.75            31378.88       47116.48       99.31
 650      468.92           5060.24            33886.80       73510.34       99.41
 700      435.48           5310.00            36465.40       61140.62       99.47
 750      403.91           5554.10            39368.98       82638.93       99.54
 800      382.18           5790.14            41581.26       64297.78       99.56
 850      360.00           6020.53            44181.09       67079.23       99.58
 900      340.07           6244.85            46660.18       68867.28       99.60
1000      307.14           6682.04            51562.76       76151.71       99.62

stitched_R128_L300_SR200
Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10     1562.09            298.37              640.07        1576.67       48.07
  20     1029.87            432.41              970.91        2164.01       62.04
  30      796.01            543.68             1256.18        2817.92       69.71
  40      649.42            648.33             1539.76        3120.63       75.51
  50      555.35            739.22             1800.58        3482.57       78.76
  60      487.31            825.86             2052.00        3876.27       81.39
  70      435.04            908.48             2298.55        4030.86       83.34
  80      393.79            986.81             2539.33        4273.48       84.47
  90      358.48           1066.48             2789.48        5197.30       86.08
 100      328.74           1141.16             3041.86        5425.22       87.39
 150      237.17           1486.60             4216.25        6715.39       91.16
 200      185.77           1799.45             5382.75       11540.22       93.40
 250      153.89           2088.06             6498.06       12242.19       94.97
 300      132.15           2352.83             7566.71       13381.15       95.81
 350      115.61           2600.02             8649.35       14160.72       96.33
 400      102.54           2835.51             9752.16       15173.32       96.71
 450       92.20           3059.66            10846.10       16522.42       97.04
 500       84.08           3274.08            11892.78       17524.57       97.33
 550       77.20           3479.53            12953.98       18596.11       97.56
 600       71.14           3677.91            14057.52       20167.22       97.81
 650       63.95           3871.96            15635.94       30325.88       97.96
