300/150
Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10     3168.16            196.62              315.58         868.27       28.66
  20     1767.24            281.51              565.79        1454.73       40.25
  30     1218.47            362.08              820.64        1910.13       48.95
  40      925.25            438.60             1080.72        2362.12       55.56
  50      763.96            508.91             1308.91        2764.54       60.14
  60      643.58            576.86             1553.75        3027.59       63.93
  70      559.31            642.14             1787.84        3406.82       66.97
  80      492.89            704.74             2028.78        3904.80       69.38
  90      443.16            766.53             2256.47        4308.62       71.56
 100      402.22            826.54             2486.14        4684.04       73.25
 150      277.47           1111.79             3603.92        6165.00       79.32
 200      210.99           1382.40             4739.42        7894.39       82.77
 250      169.31           1641.52             5906.41        9151.29       84.95
 300      135.64           1894.57             7372.25       12893.42       86.65
 350      118.79           2140.34             8418.22       14620.88       87.91
 400       98.37           2380.27            10165.91       23923.47       88.89
 450       92.97           2615.53            10755.56       17835.03       89.72
 500       66.26           2846.81            15091.27       20204.79       90.42
 550       59.88           3073.55            16698.83       22930.40       91.00
 600       67.88           3296.25            14732.54       25430.33       91.47
 650       62.57           3516.21            15981.61       33275.75       91.90
 700       56.57           3732.88            17677.09       40009.57       92.27
 750       51.36           3946.42            19471.48       43418.62       92.61
 800       51.40           4157.31            19454.10       31044.90       92.89
 850       47.55           4366.49            21028.98       40676.06       93.17
 900       41.65           4573.23            24011.09       47026.33       93.39
 950       39.88           4777.79            25077.71       62081.86       93.61
1000       38.34           4980.00            26085.05       63353.23       93.82

Using 16 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    29982.39            196.62              529.45        1897.02       28.66
  20    19178.08            281.51              831.45        2506.22       40.25
  30    14440.53            362.08             1105.76        2595.59       48.95
  40    11120.89            438.60             1436.26        3316.77       55.56
  50     9198.09            508.91             1736.88        3837.29       60.14
  60     7801.52            576.86             2048.15        4251.74       63.93
  70     6754.44            642.14             2365.54        5937.30       66.97
  80     6028.43            704.74             2650.31        5384.25       69.38
  90     5417.40            766.53             2950.17        5795.56       71.56
 100     4927.68            826.54             3244.07        6335.17       73.25
 150     3360.86           1111.79             4755.49        8596.24       79.32
 200     2556.80           1382.40             6250.96       10310.87       82.77
 250     2058.70           1641.52             7765.79       13062.74       84.95
 300     1701.60           1894.57             9393.44       14806.04       86.65
 350     1430.11           2140.34            11178.09       19110.18       87.91
 400     1244.14           2380.27            12848.59       21027.67       88.89
 450     1108.02           2615.53            14427.07       23370.68       89.72
 500     1013.09           2846.81            15779.31       25718.61       90.42
 550      909.40           3073.55            17576.88       30001.24       91.00
 600      834.42           3296.25            19149.72       32977.94       91.47
 650      769.83           3516.21            20765.09       36454.26       91.90
 700      712.27           3732.88            22441.67       38800.08       92.27
 750      649.26           3946.42            24622.43       41107.90       92.61
 800      600.97           4157.31            26602.65       44123.39       92.89
 850      567.43           4366.49            28163.62       47836.16       93.17
 900      532.81           4573.23            30006.64       56441.54       93.39
 950      503.43           4777.79            31756.56       52282.25       93.61
1000      474.95           4980.00            33653.64       55748.22       93.82


Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10     3202.35            242.19              312.21         743.49       44.66
  20     1940.19            360.53              515.35        1195.50       55.82
  30     1404.68            464.28              711.85        1504.29       62.20
  40     1099.59            561.45              909.37        1839.53       67.05
  50      905.89            652.64             1103.82        2124.40       70.65
  60      773.83            738.48             1292.22        2455.66       73.51
  70      677.75            820.36             1475.41        2733.03       75.76
  80      600.62            899.96             1664.88        3123.93       77.72
  90      537.98            976.61             1858.76        3556.11       79.28
 100      488.39           1051.99             2047.47        3797.07       80.84
 150      335.27           1398.79             2982.66        5035.60       85.53
 200      256.28           1712.80             3901.97        6355.84       88.42
 250      206.97           2003.60             4831.67        7179.24       90.23
 300      173.52           2278.55             5763.07        8403.58       91.67
 350      149.43           2537.14             6691.79        9575.51       92.62
 400      131.08           2785.23             7629.02       10982.55       93.36
 450      116.86           3023.52             8556.91       12234.03       94.02
 500      105.53           3252.56             9475.42       13462.40       94.53
 550       95.91           3475.49            10425.83       14778.12       94.95
