300/150
Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10     1172.95            315.87              852.35        2069.62       78.25
  20      870.28            393.36             1148.91        2180.04       87.75
  30      691.19            461.80             1446.63        2439.24       92.70
  40      565.89            527.16             1766.99        2834.49       94.90
  50      486.58            585.96             2055.01        3444.97       96.40
  60      435.96            644.76             2293.62        3300.48       97.00
  70      391.58            699.60             2553.62        3607.79       97.35
  80      354.08            752.55             2824.08        3912.63       97.60
  90      322.64            805.81             3099.33        4597.82       98.30
 100      297.33            857.01             3363.07        4885.77       98.55
 150      215.86           1093.15             4632.49        6561.73       99.15
 200      170.71           1308.57             5857.62        8157.00       99.40
 250      141.58           1509.71             7063.04        9860.51       99.50
 300      120.85           1696.32             8274.41       11468.42       99.55
 500       76.94           2373.84            12997.00       17816.98       99.60
 550       70.76           2530.02            14131.05       19294.06       99.65
 800       49.45           3254.73            20223.50       28204.62       99.70
 850       46.72           3389.83            21405.91       29916.39       99.75

300/150
Using 16 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    10551.03            315.87             1379.71        4770.30       78.25
  20    10055.43            393.36             1513.02        3056.51       87.75
  30     8186.37            461.80             1857.76        3444.84       92.70
  40     7140.45            527.16             2128.25        4372.51       94.90
  50     6116.39            585.96             2488.36        4194.05       96.40
  60     5318.35            644.76             2850.97        4723.60       97.00
  70     4810.79            699.60             3206.55        5021.65       97.35
  80     4380.10            752.55             3497.62        5406.87       97.60
  90     3976.54            805.81             3841.97        6176.15       98.30
 100     3677.45            857.01             4158.06        7604.85       98.55
 150     2647.99           1093.15             5818.96        8831.28       99.15
 200     2045.66           1308.57             7459.40       10557.82       99.40
 250     1690.90           1509.71             9052.38       13968.89       99.50
 300     1429.08           1696.32            10744.38       17188.37       99.55
 500      850.06           2373.84            18229.54       32047.66       99.60
 550      783.38           2530.02            19642.65       32208.13       99.65
 800      567.95           3254.73            26973.74       40730.50       99.70
 850      535.20           3389.83            28653.01       43982.14       99.75


Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10     2147.33            222.94              465.51         941.55       68.60
  20     1552.30            291.15              644.08        1232.73       82.50
  30     1255.51            345.71              796.33        1388.96       86.70
  40     1051.75            397.23              950.67        1492.57       89.70
  50      911.02            445.88             1097.53        1639.23       91.10
  60      805.08            491.03             1241.98        1853.67       91.85
  70      720.81            535.16             1387.17        1987.49       93.05
  80      653.34            577.98             1530.44        2145.86       94.25
  90      598.70            619.96             1670.14        2504.94       95.00
 100      551.63            661.28             1812.67        2557.74       95.80
 150      400.98            850.91             2493.74        3254.99       97.50
 200      315.05           1024.17             3173.98        4207.06       97.90
 250      261.27           1187.82             3827.25        5108.33       98.30
 300      223.98           1340.96             4464.46        6078.14       98.35
 350      195.97           1485.94             5102.65        6993.88       98.50
 400      174.48           1626.25             5731.28        7825.60       98.80
 450      157.10           1762.27             6365.29        8698.26       98.95
 500      143.27           1894.61             6979.72        9642.50       99.10
 550      131.54           2025.82             7602.29       10586.29       99.20
 600      121.73           2151.42             8214.42       11471.33       99.30
 650      113.27           2274.46             8828.53       12478.22       99.30
 700      105.95           2396.52             9438.22       13332.71       99.55
 750       99.49           2513.63            10051.43       14265.61       99.60
 850       88.91           2742.39            11247.20       16158.88       99.65
1000       76.14           3071.68            13133.43       18823.87       99.80


 Using 16 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    16504.28            222.94              868.97        2097.50       68.60
  20    18468.58            291.15              834.82        1486.34       82.50
  30    15366.34            345.71             1000.69        1661.91       86.70
  40    12831.36            397.23             1193.21        1923.88       89.70
  50    11023.97            445.88             1390.82        2168.68       91.10
  60     9771.61            491.03             1578.04        2475.10       91.85
  70     8759.82            535.16             1764.15        2640.09       93.05
  80     7934.72            577.98             1948.89        3156.75       94.25
  90     7191.68            619.96             2137.45        3374.66       95.00
 100     6521.76            661.28             2345.87        3649.47       95.80
 150     4771.39            850.91             3226.50        4978.67       97.50
 200     3764.87           1024.17             4085.91        5968.87       97.90
 250     3112.18           1187.82             4946.59        6856.09       98.30
 300     2638.19           1340.96             5869.05        8472.48       98.35
 350     2258.64           1485.94             6771.62        9983.52       98.50
 400     2027.19           1626.25             7625.41       10854.41       98.80
 450     1820.42           1762.27             8462.41       12365.41       98.95
 500     1657.70           1894.61             9331.34       12676.35       99.10
 550     1517.76           2025.82            10171.11       14708.09       99.20
 600     1384.28           2151.42            11163.39       15613.87       99.30
 650     1282.20           2274.46            11981.21       17461.84       99.30
 700     1193.63           2396.52            12884.76       19258.39       99.55
 750     1116.12           2513.63            13767.28       21062.71       99.60
 850      984.33           2742.39            15571.06       21125.71       99.65
1000      842.62           3071.68            18273.77       27013.47       99.80



