300/150
Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10     1202.52            403.68              831.52        2056.05       70.66
  20      873.04            541.83             1145.36        2826.14       84.66
  30      704.43            656.66             1419.53        3128.31       90.28
  40      554.65            762.13             1802.89        5348.75       93.33
  50      462.15            861.11             2163.73        6577.49       95.16
  60      452.67            954.47             2209.04        4593.30       96.19
  70      363.92           1044.75             2747.77        6932.41       96.99
  80      315.07           1131.55             3173.81        8972.33       97.56
  90      333.82           1215.10             2995.55        6060.19       98.00
 100      276.27           1296.18             3619.64        8910.80       98.32
 150      200.69           1671.22             4982.81       11212.91       99.17
 200      170.38           2010.72             5869.24       10695.01       99.50
 250      143.13           2324.36             6986.59       12451.74       99.67
 300      125.72           2618.14             7954.33       12709.87       99.76
 350       94.05           2895.51            10632.31       36190.28       99.82
 400       82.48           3160.24            12123.81       34080.74       99.87
 450       77.06           3413.14            12975.96       26728.34       99.89
 500       73.64           3656.86            13579.21       49550.02       99.91
 550       65.64           3892.23            15234.90       30883.24       99.93
 800       50.39           4967.39            19844.27       40085.08       99.96

300/150
 Using 16 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    15847.70            403.68             1005.37        3018.28       70.66
  20    11913.86            541.83             1340.12        3146.38       84.66
  30     9292.61            656.66             1717.40        3781.52       90.28
  40     7649.84            762.13             2086.76        4391.16       93.33
  50     6537.21            861.11             2442.68        4828.89       95.16
  60     5677.23            954.47             2812.16        5408.76       96.19
  70     5095.55           1044.75             3135.02        5869.47       96.99
  80     4582.14           1131.55             3486.48        6511.64       97.56
  90     4166.74           1215.10             3834.32        7490.27       98.00
 100     3831.03           1296.18             4170.43        7602.18       98.32
 150     2737.13           1671.22             5837.84        9850.45       99.17
 200     2138.99           2010.72             7471.80       12297.66       99.50
 250     1769.01           2324.36             9032.21       14812.12       99.67
 300     1502.01           2618.14            10641.08       17760.69       99.76
 350     1288.20           2895.51            12407.44       25988.21       99.82
 400     1139.50           3160.24            14026.89       23354.06       99.87
 450     1016.44           3413.14            15724.70       28707.08       99.89
