nprobe,QPS,Recall@10
500,5524.51,0.976
1500,6957.09,0.9775
2500,4748.45,0.9775
3500,4276.65,0.9775
4500,2726.38,0.9775
5500,3841.83,0.9775
6500,3811.3,0.9775
7500,4149.63,0.9775
8500,3289.21,0.9775
9500,4545.5,0.9775
10500,4988.77,0.9775
11500,6424.53,0.9775
12500,4669.59,0.9775
13500,4984.12,0.9775
14500,6439.95,0.9775
15500,4086.29,0.9775
16500,6772.37,0.9775
17500,4510.4,0.9775
18500,3766.57,0.9775
19500,3191.37,0.9775
20500,4165.38,0.9775
21500,5697.33,0.9775
22500,4389.15,0.9775
23500,2541.28,0.9775
24500,2768.92,0.9775
25500,4272.11,0.9775
26500,4428.63,0.9775
27500,2897.63,0.9775
28500,4376.27,0.9775
29500,7930.81,0.9775
30000,6839.73,0.9775
500,4470.1,0.9735
1500,11299.4,0.9755
2500,8024.81,0.9755
3500,4638.65,0.9755
4500,5528.68,0.9755
5500,10773.4,0.9755
6500,4853.46,0.9755
7500,6250.86,0.9755
8500,4975.6,0.9755
9500,4045.73,0.9755
10500,5859.47,0.9755
11500,5485.16,0.9755
12500,5022.55,0.9755
13500,5492.75,0.9755
14500,5474.25,0.9755
15500,5008.7,0.9755
16500,6017.01,0.9755
17500,4131.39,0.9755
18500,4926.66,0.9755
19500,7174.42,0.9755
20500,4984.5,0.9755
21500,7335.23,0.9755
22500,5575.5,0.9755
23500,5134.81,0.9755
24500,6936.24,0.9755
25500,3779.58,0.9755
26500,5753.98,0.9755
27500,5382.01,0.9755
28500,5779.19,0.9755
29500,7613.43,0.9755
30000,6853.89,0.9755
