nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.4062,93.4062
1500,93.4961,93.4961
2500,93.293,93.293
3500,93.3867,93.3867
4500,93.5117,93.5117
5500,93.5195,93.5195
6500,93.6484,93.6484
7500,93.4375,93.4375
8500,93.5977,93.5977
9500,93.4688,93.4688
10500,93.6016,93.6016
11500,93.3555,93.3555
12500,93.3789,93.3789
13500,93.5039,93.5039
14500,93.3477,93.3477
15500,93.293,93.293
16500,93.5352,93.5352
17500,93.5,93.5
18500,93.4141,93.4141
19500,93.4531,93.4531
20500,93.5352,93.5352
21500,93.2852,93.2852
22500,93.2305,93.2305
23500,93.4727,93.4727
24500,93.5352,93.5352
25500,93.4141,93.4141
26500,93.293,93.293
27500,93.5977,93.5977
28500,93.2305,93.2305
29500,93.5898,93.5898
30000,93.4492,93.4492
