nprobe,QPS,Recall@10
500,3848.66,0.9825
1500,2464.73,0.9825
2500,1719.41,0.9825
3500,2465.06,0.9825
4500,2699.79,0.9825
5500,2658.91,0.9825
6500,3811.98,0.9825
7500,2218.74,0.9825
8500,4124.01,0.9825
9500,3149.25,0.9825
10500,2484.41,0.9825
11500,3545.75,0.9825
12500,2798.66,0.9825
13500,3010.01,0.9825
14500,3334.06,0.9825
15500,3382.03,0.9825
16500,4480.65,0.9825
17500,3632.52,0.9825
18500,2426.2,0.9825
19500,3185.47,0.9825
20500,3802.61,0.9825
21500,5220.96,0.9825
22500,3944.1,0.9825
23500,3410.22,0.9825
24500,4787.81,0.9825
25500,3612.28,0.9825
26500,4390.55,0.9825
27500,6383.71,0.9825
28500,3309.94,0.9825
29500,1094.16,0.9825
30000,954.067,0.9825
