nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1018.96,1018.96
1500,1019.07,1019.07
2500,1019.04,1019.04
3500,1019.1,1019.1
4500,1019.13,1019.13
5500,1018.76,1018.76
6500,1018.96,1018.96
7500,1019.06,1019.06
8500,1019.12,1019.12
9500,1019.01,1019.01
10500,1019.14,1019.14
11500,1018.95,1018.95
12500,1018.9,1018.9
13500,1019.11,1019.11
14500,1019.11,1019.11
15500,1018.96,1018.96
16500,1019.24,1019.24
17500,1018.95,1018.95
18500,1019.05,1019.05
19500,1018.92,1018.92
20500,1019.2,1019.2
21500,1018.94,1018.94
22500,1018.92,1018.92
23500,1019.16,1019.16
24500,1019.21,1019.21
25500,1019.24,1019.24
26500,1019.12,1019.12
27500,1019.15,1019.15
28500,1019.11,1019.11
29500,1019.09,1019.09
30000,1019.21,1019.21
