nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7504.91,7504.91
1500,7505.01,7505.01
2500,7505.04,7505.04
3500,7505.08,7505.08
4500,7505.04,7505.04
5500,7504.95,7504.95
6500,7504.94,7504.94
7500,7504.98,7504.98
8500,7505.27,7505.27
9500,7505.2,7505.2
10500,7505.25,7505.25
11500,7505.13,7505.13
12500,7505.04,7505.04
13500,7505.01,7505.01
14500,7504.98,7504.98
15500,7505.04,7505.04
16500,7504.96,7504.96
17500,7505.12,7505.12
18500,7505.16,7505.16
19500,7505.1,7505.1
20500,7504.96,7504.96
21500,7505.04,7505.04
22500,7505.14,7505.14
23500,7505.25,7505.25
24500,7504.98,7504.98
25500,7505.23,7505.23
26500,7504.94,7504.94
27500,7505.19,7505.19
28500,7505.23,7505.23
29500,7504.93,7504.93
30000,7504.87,7504.87
500,7505.27,7505.27
1500,7505.15,7505.15
2500,7505.21,7505.21
3500,7505.07,7505.07
4500,7504.98,7504.98
5500,7505.28,7505.28
6500,7505.15,7505.15
7500,7505.15,7505.15
8500,7505.14,7505.14
9500,7505.09,7505.09
10500,7505.19,7505.19
11500,7505.14,7505.14
12500,7504.99,7504.99
13500,7505.13,7505.13
14500,7505.01,7505.01
15500,7505.14,7505.14
16500,7504.87,7504.87
17500,7505.02,7505.02
18500,7505.04,7505.04
19500,7504.92,7504.92
20500,7505.05,7505.05
21500,7505.18,7505.18
22500,7504.82,7504.82
23500,7504.91,7504.91
24500,7505.05,7505.05
25500,7505.17,7505.17
26500,7504.98,7504.98
27500,7504.92,7504.92
28500,7505.15,7505.15
29500,7504.91,7504.91
30000,7505.05,7505.05
