nprobe,QPS,Recall@10
500,155820,0.15183
1500,67838.7,0.35246
2500,59196.7,0.45352
3500,44277.5,0.51523
4500,35413.1,0.55903
5500,29710.9,0.59293
6500,25360.5,0.61932
7500,22306.2,0.64189
8500,19902.5,0.66227
9500,17789,0.6789
10500,16189.5,0.69391
11500,14765.1,0.70691
12500,13650,0.7184
13500,12611.3,0.7288
14500,11721.3,0.73887
15500,10938.7,0.74779
16500,10298.6,0.75623
17500,9676.05,0.76417
18500,9134.42,0.77176
19500,8605.61,0.77868
20500,8237.09,0.78513
21500,7820.56,0.79119
22500,7474.15,0.79685
23500,7153.39,0.80193
24500,6858.58,0.80725
25500,6567.54,0.81209
26500,6323.09,0.81639
27500,6097.32,0.82069
28500,5867.77,0.82511
29500,5673.98,0.82931
30000,5531.89,0.83094
