nprobe,QPS,Recall@10
500,50013.2,0.97564
1500,44813.2,0.98386
2500,44619,0.98386
3500,44835.9,0.98386
4500,44681.7,0.98386
5500,44529,0.98386
6500,44001.7,0.98386
7500,44447,0.98386
8500,44675.6,0.98386
9500,44498.8,0.98386
10500,44839.6,0.98386
11500,44566,0.98386
12500,44687.5,0.98386
13500,44619.5,0.98386
14500,44669.7,0.98386
15500,44538.2,0.98386
16500,44643.7,0.98386
17500,44218.6,0.98386
18500,44734.7,0.98386
19500,44687.4,0.98386
20500,44572.4,0.98386
21500,30787.6,0.98386
22500,28103.7,0.98386
23500,31622.3,0.98386
24500,44483.7,0.98386
25500,44701.7,0.98386
26500,43969.9,0.98386
27500,44487.8,0.98386
28500,43997.7,0.98386
29500,31852.4,0.98386
30000,29036.3,0.98386
