nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1256.34,1256.34
1500,1256.35,1256.35
2500,1256.24,1256.24
3500,1256.36,1256.36
4500,1256.12,1256.12
5500,1256.45,1256.45
6500,1256.25,1256.25
7500,1256.45,1256.45
8500,1256.19,1256.19
9500,1256.16,1256.16
10500,1256.27,1256.27
11500,1256.21,1256.21
12500,1256.3,1256.3
13500,1256.49,1256.49
14500,1256.21,1256.21
15500,1256.2,1256.2
16500,1256.2,1256.2
17500,1256.3,1256.3
18500,1256.11,1256.11
19500,1256.14,1256.14
20500,1256.29,1256.29
21500,1256.34,1256.34
22500,1256.3,1256.3
23500,1256.27,1256.27
24500,1256.2,1256.2
25500,1256.08,1256.08
26500,1256.3,1256.3
27500,1256.3,1256.3
28500,1256.12,1256.12
29500,1256.32,1256.32
30000,1256.2,1256.2
