nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1256.27,1256.27
1500,1256.38,1256.38
2500,1256.23,1256.23
3500,1256.16,1256.16
4500,1256.05,1256.05
5500,1256.28,1256.28
6500,1256.44,1256.44
7500,1256.43,1256.43
8500,1256.24,1256.24
9500,1256.49,1256.49
10500,1256.21,1256.21
11500,1256.29,1256.29
12500,1256.38,1256.38
13500,1256.48,1256.48
14500,1256.32,1256.32
15500,1256.39,1256.39
16500,1256.37,1256.37
17500,1256.16,1256.16
18500,1256.12,1256.12
19500,1256.45,1256.45
20500,1256.39,1256.39
21500,1256.25,1256.25
22500,1256.14,1256.14
23500,1256.32,1256.32
24500,1256.32,1256.32
25500,1256,1256
26500,1256.07,1256.07
27500,1256,1256
28500,1256.23,1256.23
29500,1256.4,1256.4
30000,1256.4,1256.4
