nprobe,QPS,Recall@10
500,5652.14,0.7545
1500,4088.88,0.936
2500,4206.37,0.9685
3500,4449.49,0.978
4500,4055.56,0.9845
5500,2011.57,0.987
6500,2629.98,0.987
7500,2855.42,0.9875
8500,2602.99,0.9875
9500,2476.02,0.9875
10500,2375.11,0.988
11500,1902.27,0.988
12500,2220.68,0.9885
13500,2056.45,0.989
14500,1929.36,0.989
15500,1918,0.989
16500,1592.82,0.989
17500,1876.65,0.989
18500,1616.67,0.989
19500,1902.08,0.989
20500,1677.62,0.989
21500,1511.2,0.989
22500,1267.47,0.989
23500,1169.94,0.989
24500,1395.12,0.989
25500,1160,0.989
26500,1348.38,0.989
27500,1128.91,0.989
28500,1278.9,0.989
29500,1104.12,0.989
30000,1241.94,0.989
500,30557.2,0.741
1500,17458.1,0.943
2500,11964.3,0.968
3500,6645.12,0.977
4500,7215.52,0.9795
5500,6247.61,0.9815
6500,5224.23,0.982
7500,4698.7,0.982
8500,4029.43,0.982
9500,3724.34,0.9825
10500,3420.94,0.9825
11500,3130.74,0.983
12500,2691.16,0.983
13500,2728.96,0.983
14500,2560.99,0.983
15500,2397.87,0.9835
16500,2250.4,0.9835
17500,2129.16,0.9835
18500,1829.86,0.9835
19500,1917.23,0.9835
20500,1833.93,0.9835
21500,1749.49,0.9835
22500,1677.98,0.9835
23500,1613.23,0.9835
24500,1456.12,0.9835
25500,1487.36,0.9835
26500,1418.77,0.9835
27500,1385.21,0.9835
28500,1340.52,0.9835
29500,1115.82,0.9835
30000,1267.03,0.9835
