nprobe,QPS,Recall@10
500,2209.53,0.9735
1500,2061.1,0.9735
2500,2990.04,0.9735
3500,2052.91,0.9735
4500,5171.64,0.9735
5500,2335.42,0.9735
6500,2760.76,0.9735
7500,3941.57,0.9735
8500,10643.5,0.9735
9500,3916.15,0.9735
10500,4414.07,0.9735
11500,4120.55,0.9735
12500,6759.96,0.9735
13500,4405.29,0.9735
14500,5933.28,0.9735
15500,4451.08,0.9735
16500,3780.07,0.9735
17500,4143.99,0.9735
18500,7548.02,0.9735
19500,7060.07,0.9735
20500,7233.66,0.9735
21500,7677.99,0.9735
22500,7042.4,0.9735
23500,6883.69,0.9735
24500,5757.03,0.9735
25500,8231.66,0.9735
26500,6640.89,0.9735
27500,5285.19,0.9735
28500,4191.19,0.9735
29500,7085.9,0.9735
30000,3446.35,0.9735
