nprobe,QPS,Recall@10
500,84113.4,0.23554
1500,56710.9,0.50158
2500,39556.8,0.63065
3500,27980,0.71138
4500,22050.8,0.76633
5500,20420.3,0.80559
6500,17206.3,0.83537
7500,16112.5,0.8581
8500,14530,0.87615
9500,12125.3,0.89174
10500,11980.3,0.90369
11500,10568.7,0.91359
12500,9389.34,0.92213
13500,8922.39,0.92904
14500,8394,0.93514
15500,7994.29,0.9405
16500,7147.46,0.94501
17500,6697.97,0.94929
18500,6643.16,0.95262
19500,6089.05,0.95568
20500,6097.25,0.95836
21500,5449.78,0.96125
22500,5412.52,0.96348
23500,5336.87,0.96525
24500,5156.92,0.96714
25500,4983.05,0.96882
26500,4345.76,0.97023
27500,4582.45,0.97161
28500,4375.31,0.97275
29500,4227.47,0.97396
30000,4198.73,0.9745
