nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1154,1154
1500,1153.88,1153.88
2500,1153.78,1153.78
3500,1154.02,1154.02
4500,1154.18,1154.18
5500,1153.94,1153.94
6500,1153.84,1153.84
7500,1154.08,1154.08
8500,1154.2,1154.2
9500,1154.12,1154.12
10500,1154,1154
11500,1154.09,1154.09
12500,1154.09,1154.09
13500,1154.14,1154.14
14500,1153.86,1153.86
15500,1154.03,1154.03
16500,1153.91,1153.91
17500,1154,1154
18500,1154.01,1154.01
19500,1154.1,1154.1
20500,1153.91,1153.91
21500,1154.14,1154.14
22500,1154.11,1154.11
23500,1153.93,1153.93
24500,1153.95,1153.95
25500,1153.88,1153.88
26500,1153.83,1153.83
27500,1154.03,1154.03
28500,1153.88,1153.88
29500,1154.09,1154.09
30000,1154.05,1154.05
