nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.5742,93.5742
1500,93.4688,93.4688
2500,93.418,93.418
3500,93.4688,93.4688
4500,93.6094,93.6094
5500,93.5625,93.5625
6500,93.4648,93.4648
7500,93.4219,93.4219
8500,93.4648,93.4648
9500,93.6445,93.6445
10500,93.375,93.375
11500,93.2891,93.2891
12500,93.5312,93.5312
13500,93.5547,93.5547
14500,93.6562,93.6562
15500,93.2891,93.2891
16500,93.582,93.582
17500,93.5977,93.5977
18500,93.5117,93.5117
19500,93.5586,93.5586
20500,93.2383,93.2383
21500,93.4375,93.4375
22500,93.3711,93.3711
23500,93.6445,93.6445
24500,93.5703,93.5703
25500,93.3047,93.3047
26500,93.1758,93.1758
27500,93.625,93.625
28500,93.4961,93.4961
29500,93.5547,93.5547
30000,93.5586,93.5586
