nprobe,QPS,Recall@10
500,7222.63,0.9815
1500,4425.43,0.9815
2500,3625.73,0.9815
3500,3598.02,0.9815
4500,3181.1,0.9815
5500,3625.53,0.9815
6500,3608.9,0.9815
7500,3555.07,0.9815
8500,3614.36,0.9815
9500,3569.68,0.9815
10500,3625.77,0.9815
11500,3630.48,0.9815
12500,3629.08,0.9815
13500,3611.16,0.9815
14500,3586.54,0.9815
15500,3591.25,0.9815
16500,3594.37,0.9815
17500,3598.31,0.9815
18500,3586.57,0.9815
19500,3596.03,0.9815
20500,3583.4,0.9815
21500,2922.09,0.9815
22500,2967.01,0.9815
23500,2936.14,0.9815
24500,2924.89,0.9815
25500,3221.88,0.9815
26500,3078.13,0.9815
27500,2880.59,0.9815
28500,2957.99,0.9815
29500,3163.2,0.9815
30000,3267.91,0.9815
