nprobe,QPS,Recall@10
500,2357.14,0.9365
1500,1042.57,0.9825
2500,680.646,0.984
3500,519.234,0.9845
4500,422.791,0.9845
5500,359.765,0.9845
6500,316.454,0.9845
7500,315.709,0.9845
8500,311.887,0.9845
9500,315.416,0.9845
10500,311.581,0.9845
11500,312.143,0.9845
12500,309.519,0.9845
13500,314.213,0.9845
14500,311.493,0.9845
15500,302.277,0.9845
16500,314.138,0.9845
17500,308.092,0.9845
18500,314.597,0.9845
19500,313.728,0.9845
20500,310.776,0.9845
21500,309.683,0.9845
22500,314.921,0.9845
23500,311.049,0.9845
24500,300.294,0.9845
25500,302.184,0.9845
26500,307.405,0.9845
27500,290.877,0.9845
28500,309.029,0.9845
29500,306.178,0.9845
30000,298.508,0.9845
