nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1018.93,1018.93
1500,1019.06,1019.06
2500,1018.74,1018.74
3500,1019.04,1019.04
4500,1019.11,1019.11
5500,1019.22,1019.22
6500,1019.07,1019.07
7500,1019.13,1019.13
8500,1018.84,1018.84
9500,1018.9,1018.9
10500,1018.75,1018.75
11500,1019.05,1019.05
12500,1019.04,1019.04
13500,1019.14,1019.14
14500,1019.11,1019.11
15500,1019.17,1019.17
16500,1018.97,1018.97
17500,1019.02,1019.02
18500,1019.07,1019.07
19500,1018.96,1018.96
20500,1019.15,1019.15
21500,1019.08,1019.08
22500,1019.02,1019.02
23500,1018.87,1018.87
24500,1018.86,1018.86
25500,1019.09,1019.09
26500,1019.01,1019.01
27500,1019.01,1019.01
28500,1019.04,1019.04
29500,1019.18,1019.18
30000,1019.17,1019.17
