nprobe,QPS,Recall@10
500,3486,0.7928
1500,1867.08,0.9502
2500,1180.54,0.9758
3500,820.01,0.9811
4500,635.492,0.9821
5500,528.278,0.9823
6500,451.429,0.9823
7500,392.557,0.9823
8500,347.828,0.9823
9500,314.324,0.9823
10500,297.739,0.9823
11500,294.565,0.9823
12500,297.03,0.9823
13500,294.764,0.9823
14500,294.08,0.9823
15500,296.371,0.9823
16500,296.971,0.9823
17500,296.351,0.9823
18500,296.468,0.9823
19500,293.013,0.9823
20500,293.903,0.9823
21500,297.103,0.9823
22500,297.181,0.9823
23500,294.277,0.9823
24500,295.203,0.9823
25500,296.804,0.9823
26500,295.196,0.9823
27500,294.039,0.9823
28500,296.328,0.9823
29500,297.539,0.9823
30000,297.144,0.9823
