nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.25,7505.25
1500,7505.22,7505.22
2500,7505.1,7505.1
3500,7505.23,7505.23
4500,7504.95,7504.95
5500,7505.04,7505.04
6500,7505.07,7505.07
7500,7505.25,7505.25
8500,7505.11,7505.11
9500,7505.2,7505.2
10500,7505.19,7505.19
11500,7505.23,7505.23
12500,7505.2,7505.2
13500,7505.2,7505.2
14500,7504.89,7504.89
15500,7504.99,7504.99
16500,7505.2,7505.2
17500,7504.86,7504.86
18500,7505.01,7505.01
19500,7504.97,7504.97
20500,7504.88,7504.88
21500,7505.23,7505.23
22500,7505.2,7505.2
23500,7505.09,7505.09
24500,7505.03,7505.03
25500,7505.01,7505.01
26500,7505.11,7505.11
27500,7504.91,7504.91
28500,7505.23,7505.23
29500,7504.97,7504.97
30000,7505.3,7505.3
