nprobe,QPS,Recall@10
500,1806.24,0.984
1500,1448.9,0.984
2500,1441.13,0.984
3500,1450.13,0.984
4500,1442.84,0.984
5500,1452.29,0.984
6500,1445.36,0.984
7500,1440.16,0.984
8500,1449.47,0.984
9500,1436.17,0.984
10500,1446.4,0.984
11500,1444.88,0.984
12500,1439.46,0.984
13500,1434.8,0.984
14500,1437.66,0.984
15500,1449.87,0.984
16500,1442.63,0.984
17500,1435.74,0.984
18500,1438.54,0.984
19500,1434.1,0.984
20500,1449.54,0.984
21500,1447.17,0.984
22500,1440.68,0.984
23500,1451.71,0.984
24500,1439.3,0.984
25500,1438.32,0.984
26500,1439.75,0.984
27500,1447.8,0.984
28500,1428.77,0.984
29500,1444.55,0.984
30000,1436.03,0.984
