nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.88,3356.88
1500,3356.71,3356.71
2500,3356.96,3356.96
3500,3356.76,3356.76
4500,3356.91,3356.91
5500,3356.98,3356.98
6500,3356.73,3356.73
7500,3356.79,3356.79
8500,3356.94,3356.94
9500,3356.98,3356.98
10500,3356.83,3356.83
11500,3356.56,3356.56
12500,3356.88,3356.88
13500,3356.82,3356.82
14500,3356.64,3356.64
15500,3357.04,3357.04
16500,3356.82,3356.82
17500,3356.82,3356.82
18500,3356.71,3356.71
19500,3356.93,3356.93
20500,3356.65,3356.65
21500,3356.98,3356.98
22500,3356.74,3356.74
23500,3356.95,3356.95
24500,3356.79,3356.79
25500,3357.02,3357.02
26500,3356.74,3356.74
27500,3356.75,3356.75
28500,3356.9,3356.9
29500,3356.88,3356.88
30000,3356.89,3356.89
