nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3477.95,3477.95
1500,3478.05,3478.05
2500,3477.88,3477.88
3500,3478.09,3478.09
4500,3478.09,3478.09
5500,3478.14,3478.14
6500,3477.98,3477.98
7500,3478.17,3478.17
8500,3477.79,3477.79
9500,3478.04,3478.04
10500,3477.9,3477.9
11500,3478.04,3478.04
12500,3477.93,3477.93
13500,3478.05,3478.05
14500,3478.07,3478.07
15500,3477.8,3477.8
16500,3478.09,3478.09
17500,3478.02,3478.02
18500,3478.06,3478.06
19500,3477.91,3477.91
20500,3477.97,3477.97
21500,3477.93,3477.93
22500,3478.06,3478.06
23500,3477.71,3477.71
24500,3478.04,3478.04
25500,3478.02,3478.02
26500,3478.02,3478.02
27500,3478.05,3478.05
28500,3477.94,3477.94
29500,3478.09,3478.09
30000,3477.97,3477.97
