nprobe,QPS,Recall@10
500,11079.9,0.19213
1500,7885.09,0.44995
2500,6179.19,0.57908
3500,4934.88,0.66201
4500,4248.47,0.72034
5500,3602.24,0.76393
6500,3231.51,0.79579
7500,2873.6,0.82122
8500,2603.91,0.84267
9500,2384.65,0.86055
10500,2208.21,0.87501
11500,2034.51,0.88683
12500,1899.99,0.89709
13500,1770.63,0.90626
14500,1669.45,0.91385
15500,1567.53,0.92059
16500,1481.26,0.92678
17500,1420.44,0.93223
18500,1345.36,0.9369
19500,1276.93,0.94072
20500,1221.63,0.94436
21500,1168.3,0.94734
22500,1113.16,0.95041
23500,1076.72,0.95285
24500,1036.94,0.95544
25500,993.386,0.95773
26500,931.891,0.95975
27500,888.809,0.96146
28500,876.643,0.96305
29500,842.976,0.96474
30000,839.337,0.96535
