nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1276,1276
1500,1275.93,1275.93
2500,1275.97,1275.97
3500,1276.04,1276.04
4500,1276.16,1276.16
5500,1275.95,1275.95
6500,1276.13,1276.13
7500,1275.93,1275.93
8500,1275.87,1275.87
9500,1275.79,1275.79
10500,1276.18,1276.18
11500,1276.11,1276.11
12500,1276.17,1276.17
13500,1275.97,1275.97
14500,1276.18,1276.18
15500,1276.16,1276.16
16500,1276.01,1276.01
17500,1276,1276
18500,1276.1,1276.1
19500,1276.12,1276.12
20500,1276.21,1276.21
21500,1276.01,1276.01
22500,1275.94,1275.94
23500,1276.02,1276.02
24500,1276.16,1276.16
25500,1275.99,1275.99
26500,1276.01,1276.01
27500,1276.06,1276.06
28500,1276.07,1276.07
29500,1276.23,1276.23
30000,1276.18,1276.18
