QPS,Recall
9004.952723998198,0.689
6567.928803651768,0.7655
5333.617792948958,0.8285
4807.807879997115,0.8475
4068.348250610252,0.8755
3478.2003791238417,0.8975
3073.3296453377593,0.918
2759.8769094898366,0.9275
2488.8003982080636,0.941
2259.146720283749,0.948
2086.027785890108,0.952
1914.2969265962843,0.9525
1784.3282450239544,0.957
1660.8950563458648,0.9605
1565.7906068221496,0.9645
1470.112610625974,0.967
1421.6965104459152,0.97
1316.4563627627153,0.9735
1246.8516994588665,0.9755
1125.7774900790857,0.9785
1025.8409331049127,0.98
973.4633880419758,0.9815
