QPS,Recall
1769.3165130310163,0.5697
1351.6728302947727,0.6371
1075.0769217537513,0.6892
990.556038726779,0.7062
866.0340576553513,0.7387
761.4209332888663,0.7663
680.3507888667397,0.7843
611.5818932618354,0.8018
556.9932169366042,0.8171
513.2611277578803,0.8284
477.66395576449634,0.8401
443.8067434659443,0.8507
415.85159753549704,0.8587
391.92816113577646,0.8678
366.59135658231276,0.8756
350.3055189583595,0.8821
341.35727749820614,0.8845
332.48096297126267,0.8874
316.6168100729738,0.8921
306.6610772574319,0.8944
300.6041542291698,0.8962
285.9261978735097,0.9009
275.6547765735339,0.9034
266.6713600826041,0.9062
253.76034771257883,0.9102
241.25091494409492,0.9131
