QPS,Recall
1753.463089601964,0.843
1338.1059110828623,0.8755
1094.3553152837662,0.8965
1011.004787107667,0.9055
872.0676724513822,0.917
763.7523151242052,0.928
683.1604368127834,0.931
614.6470389378899,0.935
558.484496470378,0.9385
505.8603926488368,0.94
478.435706613656,0.9435
445.4362825669602,0.945
413.8216428719222,0.947
391.25926795390967,0.949
367.2656156748965,0.9495
350.2418419918954,0.9505
339.87767802367927,0.952
331.2656833596966,0.9525
300.2502585905352,0.9535
287.1632293228117,0.9545
274.8426869170758,0.9565
262.608490132486,0.957
253.02331230287905,0.9575
243.59289780547158,0.958
