QPS,Recall
5362.025172563375,0.5586
4000.228813088109,0.6309
3182.444110712139,0.6792
2876.744997556205,0.6999
2453.145533594724,0.7326
2134.591546974782,0.7581
1894.700144755091,0.779
1693.9709372182185,0.7958
1534.1084467397434,0.8108
1405.7797227521232,0.8229
1294.131501878432,0.8339
1173.9522534835273,0.8435
1109.0284788532113,0.8513
1029.8004689505376,0.8593
974.2617580241659,0.8651
924.7861270243684,0.8713
900.0798820895354,0.8746
869.4843175461066,0.8772
823.2917806994391,0.8813
807.1962514451841,0.8833
794.0497090998891,0.886
757.548841635854,0.8894
726.5721531922165,0.8933
697.2895309995749,0.8967
662.4692175397205,0.9001
635.600990291767,0.9025
