QPS,Recall
2777.78,0.8295
2898.55,0.9245
1834.86,0.9675
1111.11,0.979
816.327,0.9875
660.066,0.9915
487.805,0.996
436.681,0.9965
396.825,0.998
337.838,0.9985
297.619,0.9985
267.738,0.9985
244.798,0.9985
225.479,0.9985
210.084,0.9985
183.993,0.9985
126.342,0.999
95.9693,0.999
3773.58,0.8295
2941.18,0.9245
2702.7,0.937
1851.85,0.9675
1324.5,0.977
1117.32,0.979
975.61,0.984
869.565,0.9845
833.333,0.9875
757.576,0.99
699.301,0.9915
666.667,0.9915
645.161,0.9915
602.41,0.9925
584.795,0.993
563.38,0.994
546.448,0.995
522.193,0.9955
506.329,0.9955
495.049,0.996
443.459,0.9965
398.406,0.998
366.972,0.998
340.136,0.9985
315.956,0.9985
301.659,0.9985
286.944,0.9985
271.739,0.9985
258.732,0.9985
248.139,0.9985
233.645,0.9985
226.757,0.9985
215.285,0.9985
208.986,0.9985
195.503,0.9985
183.15,0.9985
174.216,0.9985
165.7,0.9985
158.73,0.9985
154.321,0.9985
145.985,0.9985
123.153,0.9985
118.483,0.999
118.765,0.999
89.8473,0.999
