QPS,Recall
4347.83,0.9165
4000.0,0.97
2702.7,0.991
1785.71,0.9945
1408.45,0.997
1190.48,0.9985
938.967,0.9985
862.069,0.999
800.0,0.999
706.714,0.999
636.943,0.999
584.795,0.999
543.478,0.999
511.509,0.999
480.769,0.999
433.839,0.999
327.869,0.999
257.069,0.9995
4444.44,0.9165
3125.0,0.97
2777.78,0.977
2083.33,0.991
1769.91,0.9945
1574.8,0.9945
1418.44,0.9955
1219.51,0.9965
1169.59,0.997
1104.97,0.9975
1041.67,0.9985
1020.41,0.9985
1005.03,0.9985
966.184,0.9985
921.659,0.9985
896.861,0.9985
877.193,0.9985
843.882,0.9985
829.875,0.9985
823.045,0.9985
732.601,0.999
680.272,0.999
626.959,0.999
595.238,0.999
574.713,0.999
539.084,0.999
512.82,0.999
503.778,0.999
466.2,0.999
456.621,0.999
446.429,0.999
439.56,0.999
419.287,0.999
406.504,0.999
384.615,0.999
371.747,0.999
351.494,0.999
328.407,0.999
312.989,0.999
308.166,0.999
301.659,0.999
296.736,0.999
283.286,0.999
279.72,0.999
218.341,0.9995
