QPS,Recall
5154.64,0.7541
3278.69,0.8952
1814.88,0.9609
1035.2,0.9884
921.659,0.9939
762.776,0.9963
591.716,0.9982
534.188,0.9983
487.805,0.9986
423.908,0.9989
378.072,0.999
341.997,0.9992
313.676,0.9992
292.141,0.9992
273.673,0.9992
244.26,0.9993
177.368,0.9995
137.193,0.9995
5405.41,0.7541
3267.97,0.8952
2898.55,0.9167
2000.0,0.9609
1449.28,0.9825
1242.24,0.9884
1094.09,0.9914
982.318,0.9932
937.207,0.9939
862.813,0.9955
800.0,0.9962
773.994,0.9963
747.384,0.9966
704.225,0.9974
690.608,0.9977
667.557,0.9977
651.466,0.9978
619.579,0.9982
607.165,0.9982
595.948,0.9982
536.193,0.9983
491.4,0.9986
453.926,0.9986
424.809,0.9989
400.481,0.999
379.219,0.999
361.402,0.999
342.583,0.9992
329.056,0.9992
313.087,0.9992
303.674,0.9992
292.483,0.9992
282.167,0.9992
273.523,0.9992
258.331,0.9992
245.038,0.9993
232.288,0.9994
223.464,0.9994
213.356,0.9994
204.792,0.9995
197.941,0.9995
190.658,0.9995
183.79,0.9995
177.904,0.9995
137.608,0.9995
