QPS,Recall
11236.0,0.9783
8620.69,0.9984
6410.26,0.9998
4830.92,0.9999
4166.67,1.0
3731.34,1.0
3225.81,1.0
3039.51,1.0
2915.45,1.0
2688.17,1.0
2597.4,1.0
2544.53,1.0
2380.95,1.0
2506.27,1.0
2487.56,1.0
2500.0,1.0
2531.65,1.0
2531.65,1.0
12345.7,0.9783
8547.01,0.9984
7936.51,0.9992
6410.26,0.9998
5263.16,0.9998
4854.37,0.9999
4464.29,1.0
4201.68,1.0
4132.23,1.0
3952.57,1.0
3802.28,1.0
3731.34,1.0
3649.64,1.0
3508.77,1.0
3484.32,1.0
3436.43,1.0
3367.0,1.0
3289.47,1.0
3257.33,1.0
3225.81,1.0
3058.1,1.0
2923.98,1.0
2808.99,1.0
2724.8,1.0
2659.57,1.0
2590.67,1.0
2538.07,1.0
2493.77,1.0
2531.65,1.0
2525.25,1.0
2544.53,1.0
2551.02,1.0
2506.27,1.0
2557.54,1.0
2557.54,1.0
2557.54,1.0
2557.54,1.0
2557.54,1.0
2564.1,1.0
2564.1,1.0
2564.1,1.0
2564.1,1.0
2564.1,1.0
2564.1,1.0
2551.02,1.0
