QPS,Recall
19493.2,0.3789
9661.84,0.5511
5524.86,0.6622
3095.98,0.7519
2188.66,0.7918
1678.13,0.8166
1106.44,0.8464
974.374,0.8566
871.156,0.8651
680.318,0.878
576.037,0.8882
492.49,0.8958
431.611,0.902
390.076,0.9069
348.712,0.9107
296.806,0.9175
180.636,0.9336
118.254,0.944
18050.5,0.3789
9165.9,0.5511
7861.64,0.583
5271.48,0.6622
3338.9,0.725
2803.48,0.7519
2584.65,0.771
2218.77,0.7855
1967.34,0.7918
1904.4,0.803
1689.19,0.8125
1522.07,0.8166
1559.09,0.8203
1464.56,0.8276
1389.08,0.8308
1318.04,0.8341
1264.06,0.8369
1174.4,0.8418
1154.2,0.8443
1138.04,0.8464
928.764,0.8566
855.871,0.8651
775.795,0.8721
694.879,0.878
583.294,0.8833
591.786,0.8882
552.792,0.8922
509.087,0.8958
472.389,0.8991
438.481,0.902
416.164,0.9044
392.157,0.9069
371.664,0.9088
363.332,0.9107
325.066,0.9145
295.264,0.9175
280.686,0.9202
252.825,0.9228
240.246,0.9249
223.789,0.9269
211.869,0.9287
189.703,0.9305
186.804,0.9321
176.302,0.9336
118.809,0.944
