QPS,Recall
22123.9,0.5375
11312.2,0.7172
6544.5,0.8173
3677.82,0.8853
2568.05,0.9138
2058.88,0.9298
1478.85,0.9474
1297.69,0.9523
1167.27,0.9561
968.805,0.9618
835.422,0.9655
735.456,0.9681
659.326,0.9702
599.592,0.9721
552.334,0.9736
471.365,0.9758
306.297,0.9809
213.079,0.9839
20964.4,0.5375
11123.5,0.7172
9569.38,0.7452
6418.49,0.8173
4359.2,0.8659
3575.26,0.8853
3093.1,0.899
2686.01,0.9096
2481.39,0.9138
2310.0,0.921
2119.54,0.9272
2039.57,0.9298
1960.4,0.9324
1815.54,0.9366
1743.68,0.9384
1686.91,0.9404
1627.6,0.942
1532.8,0.945
1506.48,0.9462
1450.75,0.9474
1295.67,0.9523
1166.04,0.9561
1039.07,0.9594
954.381,0.9618
878.58,0.9636
829.394,0.9655
783.76,0.967
727.326,0.9681
697.885,0.9693
652.656,0.9702
627.038,0.9712
597.229,0.9721
561.482,0.9728
531.943,0.9736
497.587,0.9748
461.744,0.9758
427.04,0.9767
410.61,0.9776
389.226,0.9783
369.768,0.9789
349.638,0.9795
332.546,0.98
317.844,0.9806
302.078,0.9809
189.473,0.9839
