QPS,Recall
9523.81,0.923
6666.67,0.983
4166.67,0.9965
2564.1,0.998
1960.78,0.999
1600.0,0.9995
1212.12,0.9995
1086.96,0.9995
990.099,0.9995
847.458,0.9995
746.269,0.9995
668.896,0.9995
609.756,0.9995
561.798,0.9995
520.833,0.9995
456.621,1.0
313.972,1.0
227.273,1.0
11111.1,0.923
6666.67,0.983
5882.35,0.9845
4081.63,0.9965
2985.07,0.998
2597.4,0.998
2298.85,0.998
2040.82,0.9985
1960.78,0.999
1769.91,0.999
1666.67,0.999
1587.3,0.9995
1562.5,0.9995
1449.28,0.9995
1418.44,0.9995
1369.86,0.9995
1342.28,0.9995
1265.82,0.9995
1226.99,0.9995
1176.47,0.9995
1075.27,0.9995
990.099,0.9995
917.431,0.9995
851.064,0.9995
796.813,0.9995
749.064,0.9995
709.22,0.9995
673.401,0.9995
641.026,0.9995
613.497,0.9995
586.51,0.9995
563.38,0.9995
543.478,0.9995
522.193,0.9995
487.805,0.9995
457.666,1.0
432.9,1.0
409.836,1.0
389.864,1.0
370.37,1.0
353.357,1.0
339.559,1.0
326.797,1.0
314.961,1.0
231.214,1.0
