QPS,Recall
6060.61,0.9235
6451.61,0.983
4166.67,0.996
2597.4,0.9995
1941.75,0.9995
1600.0,0.9995
1204.82,0.9995
1086.96,1.0
990.099,1.0
843.882,1.0
749.064,1.0
673.401,1.0
611.621,1.0
563.38,1.0
522.193,1.0
458.716,1.0
315.457,1.0
231.214,1.0
4444.44,0.9235
4000.0,0.983
3571.43,0.989
2439.02,0.996
1818.18,0.999
1550.39,0.9995
1360.54,0.9995
1204.82,0.9995
1162.79,0.9995
1041.67,0.9995
970.874,0.9995
947.867,0.9995
896.861,0.9995
763.359,0.9995
519.481,0.9995
498.753,0.9995
478.469,0.9995
453.515,0.9995
434.783,0.9995
425.532,0.9995
306.279,1.0
298.063,1.0
332.779,1.0
353.982,1.0
351.494,1.0
436.681,1.0
415.8,1.0
406.504,1.0
395.257,1.0
378.072,1.0
366.3,1.0
333.89,1.0
301.205,1.0
277.393,1.0
259.74,1.0
243.902,1.0
256.082,1.0
235.849,1.0
219.78,1.0
202.429,1.0
180.832,1.0
132.363,1.0
102.041,1.0
100.503,1.0
124.301,1.0
