QPS,Recall
15974.4,0.7808
8896.8,0.915
5379.24,0.9692
3077.87,0.9914
2164.5,0.9962
1683.79,0.9981
1201.35,0.9994
1065.76,0.9996
940.557,0.9997
782.105,0.9999
667.69,1.0
575.109,1.0
505.382,1.0
470.079,1.0
423.46,1.0
224.957,1.0
226.876,1.0
158.516,1.0
16420.4,0.7808
9372.07,0.915
8176.61,0.9328
5434.78,0.9692
3641.66,0.9868
3067.48,0.9914
2619.86,0.9942
2298.32,0.9957
2123.59,0.9962
1970.83,0.9972
1789.87,0.9978
1700.68,0.9981
1625.22,0.9982
1508.07,0.9986
1459.21,0.9987
1408.25,0.9989
1363.51,0.999
1292.32,0.9992
1256.6,0.9993
1222.49,0.9994
1056.41,0.9996
935.104,0.9997
843.028,0.9998
726.322,0.9999
708.165,0.9999
661.419,1.0
608.088,1.0
573.526,1.0
544.395,1.0
497.216,1.0
477.829,1.0
461.489,1.0
439.734,1.0
383.494,1.0
384.305,1.0
359.712,1.0
334.941,1.0
313.362,1.0
293.118,1.0
281.635,1.0
267.251,1.0
252.455,1.0
241.791,1.0
229.611,1.0
157.983,1.0
