QPS,Recall
19646.4,0.8706
10905.1,0.966
6788.87,0.9921
4033.88,0.9988
2985.07,0.9997
2348.52,0.9999
1773.99,1.0
1586.8,1.0
1418.44,1.0
1204.24,1.0
1061.8,1.0
934.143,1.0
852.297,1.0
770.238,1.0
715.871,1.0
618.812,1.0
407.116,1.0
291.622,1.0
19646.4,0.8706
11185.7,0.966
9794.32,0.9763
6711.41,0.9921
4701.46,0.9977
3921.57,0.9988
3461.41,0.9992
3087.37,0.9996
2950.72,0.9997
2597.4,0.9998
2436.65,0.9999
2338.09,0.9999
2212.39,0.9999
2092.49,0.9999
2040.82,0.9999
1977.07,1.0
1876.52,1.0
1758.4,1.0
1726.52,1.0
1677.01,1.0
1550.39,1.0
1336.72,1.0
1287.83,1.0
1179.66,1.0
1093.61,1.0
1025.54,1.0
969.274,1.0
912.825,1.0
876.962,1.0
835.282,1.0
796.686,1.0
762.835,1.0
728.279,1.0
701.361,1.0
647.333,1.0
604.888,1.0
568.667,1.0
537.895,1.0
511.718,1.0
487.71,1.0
461.489,1.0
439.059,1.0
419.674,1.0
405.778,1.0
290.748,1.0
