QPS,Recall
440.087,0.99815
543.149,0.99717
589.784,0.99699
646.924,0.99612
715.006,0.9957
804.474,0.99463
913.982,0.99364
1075.96,0.99203
1308.53,0.9891
1675.07,0.98461
1955.21,0.98075
2357.23,0.97437
2567.12,0.97116
2824.47,0.96639
3140.35,0.9607
3538.45,0.95342
4084.17,0.94239
4421.98,0.93546
4803.55,0.92652
5305.39,0.91512
5941.08,0.90099
6227.53,0.89237
6676.79,0.88145
7195.12,0.86924
7749.77,0.85583
8455.49,0.83535
9262.36,0.81352
10348.5,0.7832
11889.1,0.74451
13982.4,0.69049
17673.5,0.60091
