QPS,Recall
84.3437,0.999816
93.6021,0.999732
79.375,0.999685
103.364,0.999623
120.616,0.999519
139.614,0.999399
156.362,0.999236
178.345,0.998963
210.92,0.998422
260.402,0.997402
299.208,0.996382
353.783,0.994667
384.495,0.993566
420.153,0.992112
462.584,0.990332
521.924,0.987601
600.716,0.983648
646.86,0.98072
705.645,0.977089
786.503,0.971923
884.069,0.964948
944.765,0.960261
1015.48,0.954965
1100.72,0.94831
1190.3,0.939735
1302.42,0.928682
1451.19,0.913588
1644.42,0.893332
1885.56,0.864308
2154.72,0.833072
2183.7,0.829342
